Sepal Length,Sepal Length Confidence,Sepal Width,Sepal Width Confidence,Petal Length,Petal Length Confidence,Petal Width,Petal Width Confidence
6.0,98.5,2.7,97.8,5.1,99.9,1.6,88.2
5.4,99.6,3.0,93.3,4.5,94.8,1.5,95.0
6.0,97.7,3.4,90.9,4.5,93.1,1.6,91.7
6.7,98.1,3.1,96.3,4.7,96.6,1.5,94.4
6.3,99.9,2.3,92.6,4.4,97.2,1.3,97.2
5.6,97.9,3.0,91.8,4.1,92.9,1.3,98.4
5.5,98.6,2.5,97.5,4.0,97.7,1.3,96.2
5.5,99.7,2.6,97.7,4.4,96.3,1.2,82.6
6.1,98.8,3.0,95.0,4.6,95.3,1.4,95.7
5.8,98.3,2.6,97.3,4.0,96.9,1.2,98.0
5.0,97.6,2.3,95.9,3.3,95.9,1.0,93.1
5.6,98.8,2.7,95.6,4.2,95.9,1.3,97.5
5.7,98.3,3.0,92.3,4.2,92.5,1.2,92.6
5.7,98.3,2.9,93.4,4.2,94.2,1.3,99.1
6.2,98.0,2.9,95.6,4.3,95.7,1.3,97.6
5.1,96.2,2.5,93.8,3.0,95.6,1.1,71.4
5.7,98.1,2.8,94.3,4.1,95.1,1.3,96.8
6.3,97.0,3.3,97.5,6.0,96.9,2.5,98.2
5.8,98.3,2.7,97.0,5.1,97.9,1.9,98.9
7.1,98.7,3.0,94.9,5.9,97.2,2.1,99.1
6.3,97.7,2.9,97.0,5.6,99.3,1.8,86.9
6.5,97.8,3.0,95.8,5.8,97.1,2.2,99.0
7.6,97.1,3.0,90.2,6.6,96.1,2.1,86.5
4.9,97.8,2.5,99.2,4.5,98.9,1.7,97.1
7.3,97.0,2.9,91.2,6.3,97.4,1.8,79.4
6.7,96.6,2.5,87.4,5.8,95.1,1.8,84.4
7.2,99.7,3.6,99.1,6.1,99.0,2.5,90.8
6.5,99.0,3.2,96.8,5.1,99.1,2.0,88.2
6.4,98.8,2.7,94.9,5.3,97.1,1.9,99.9
6.8,99.7,3.0,97.5,5.5,97.8,2.1,93.0
5.7,97.9,2.5,93.5,5.0,95.4,2.0,96.0
5.8,98.5,2.8,95.9,5.1,94.5,2.4,85.0
6.4,99.8,3.2,98.9,5.3,98.4,2.3,85.5
6.5,98.9,3.0,99.0,5.5,99.8,1.8,91.9
7.7,98.7,3.8,99.0,6.7,98.7,2.2,90.4
7.7,95.1,2.6,80.1,6.9,91.6,2.3,86.0
6.0,97.3,2.2,88.1,5.0,95.6,1.5,84.4
6.9,99.7,3.2,98.6,5.7,97.8,2.3,90.4
5.6,98.9,2.8,99.7,4.9,98.3,2.0,93.5
7.7,96.2,2.8,85.9,6.7,94.8,2.0,81.0
6.3,99.8,2.7,97.6,4.9,98.2,1.8,92.9
6.7,99.4,3.3,98.9,5.7,99.8,2.1,99.0
7.2,98.8,3.2,98.1,6.0,99.5,1.8,86.2
6.2,99.4,2.8,99.9,4.8,99.4,1.8,90.7
6.1,99.5,3.0,97.1,4.9,98.6,1.8,94.6
6.4,97.9,2.8,94.2,5.6,96.4,2.1,99.3
7.2,98.8,3.0,96.2,5.8,99.9,1.6,82.1
7.4,97.8,2.8,90.1,6.1,96.1,1.9,88.3
7.9,99.9,3.8,97.5,6.4,97.3,2.0,91.9
6.4,97.9,2.8,93.7,5.6,95.6,2.2,97.2
6.3,99.3,2.8,99.1,5.1,98.8,1.5,86.9
6.1,95.8,2.6,92.4,5.6,99.0,1.4,67.6
7.7,99.1,3.0,92.0,6.1,95.1,2.3,93.5
6.3,99.0,3.4,98.3,5.6,98.9,2.4,91.1
6.4,98.9,3.1,99.3,5.5,98.8,1.8,91.0
6.0,99.3,3.0,96.5,4.8,98.3,1.8,92.7
6.9,99.5,3.1,99.3,5.4,98.6,2.1,89.0
6.7,99.4,3.1,97.4,5.6,96.5,2.4,87.3
6.9,98.5,3.1,99.5,5.1,96.9,2.3,76.1
5.8,98.3,2.7,97.0,5.1,97.9,1.9,98.9
6.8,98.7,3.2,97.7,5.9,97.7,2.3,96.5
6.7,99.5,3.3,99.3,5.7,97.2,2.5,86.8
6.7,99.3,3.0,98.1,5.2,96.4,2.3,80.5
6.3,99.2,2.5,92.8,5.0,95.4,1.9,92.9
6.5,99.8,3.0,100.0,5.2,99.1,2.0,91.3
6.2,99.6,3.4,96.9,5.4,100.0,2.3,90.0
5.9,99.2,3.0,97.9,5.1,98.7,1.8,96.5
